municipality_with_state,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Upland cotton (seed cotton) (ha),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Oats (grain) (ha),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),"Coffee (Arabica, green) (ha)","Coffee (Canephora/Robusta, green) (ha)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Barley (grain) (ha),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Triticale (grain) (ha),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha),municipality_name,state_abbrev
Alta Floresta D'Oeste (RO),5,5,,,,,,135,,,146,,,,,57,4055,,4055,,5,,,,,,,,5,,,,,850,,,,3,,,5,9,,,,4,,330,,6,,12,,1850,,,,,1,,,1697,,,7,,,,3,,Alta Floresta D'Oeste,RO
Ariquemes (RO),20,6,,,,,,375,,,185,,,,,275,370,,370,,25,,,,,,,,6,,,,,3,,,,4,2,,8,8,,,,4,,115,,18,,23,,7881,,,,,,,,15980,,,4,,,,30,,Ariquemes,RO
Cabixi (RO),2,,,,,,1,1200,,,34,,,,,9,24,,24,,6,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,22,,1,,20,,21470,,,,,,,,32000,,2,,,,,100,,Cabixi,RO
Cacoal (RO),85,,,,,,2,150,,,450,,,,,105,4990,,4990,,26,,,,,,,,8,,,,,30,,,,12,3,,55,38,,,,115,,190,,11,,26,,3145,,,,,6,,,6411,,5,3,,,,2,,Cacoal,RO
Cerejeiras (RO),30,,,,,,1,800,,,15,,,,,4,29,,29,,20,,,,,,,,2,,,,,3,,,,,,,,2,,,,1,,110,,1,,2,,26510,,,,,,,,40000,50,,15,,,,20,,Cerejeiras,RO
Colorado do Oeste (RO),11,,,,,,4,29,,,60,,,,,40,35,,35,,2,,,,,,,,3,,,,,3,,,,3,,,1,2,,,,2,,156,,2,,3,,1880,,,,,,,,2310,,,1,,,,10,,Colorado do Oeste,RO
Corumbiara (RO),15,,,,,,1,1700,,,23,1,,,,4,25,,25,,20,,,,,,,,1,,,,,15,,,,3,,,2,1,,,,1,,145,,3,,1,,33020,,,,,,,,54743,,2,2,,,,5,,Corumbiara,RO
Costa Marques (RO),17,5,,,,,,,,,64,,,,,5,185,,185,,5,,,,,,,,,,,,,30,,,,,,,35,1,,,,4,,250,,5,,10,,4070,,,,,,,,7224,,5,,,,,100,,Costa Marques,RO
Espigão D'Oeste (RO),10,,,,,,,1,,,65,,,,,5,580,,580,,,,,,,,,,5,,,,,10,,,,,,,,2,,,,4,,315,,,,20,,1394,,,,,,,,1902,,,4,,,,,,Espigão D'Oeste,RO
Guajará-Mirim (RO),5,6,,,,,,1,,,30,2,,,,,62,,62,,1,,,,,,,,3,,,,,,,,,,,,1,7,,,,5,,330,,2,,15,,2100,,,,,,,,9625,,,2,,,,12,,Guajará-Mirim,RO
Jaru (RO),6,2,,,,,3,,,,140,3,,,,1470,163,,163,,6,,,,,,,,,,,,,30,,,,,,,5,5,,,,,,460,,,,8,,450,,,,,,,,187,,,,,,,,,Jaru,RO
Ji-Paraná (RO),10,2,,,,,2,300,,,10,1,,,,128,72,,72,,20,,,,,,,,5,,,,,2,,,,6,,,4,18,,,,4,,143,1,10,,20,,560,,,,,2,,,68,,,2,,,,3,,Ji-Paraná,RO
Machadinho D'Oeste (RO),15,,,,,,2,1000,,,261,5,,,,290,1380,,1380,,9,,,,,,,,,,,,,25,,,,,30,,7,12,,,,,,436,,8,,90,,7425,,,,,2,,,15500,,8,1,,,,5,,Machadinho D'Oeste,RO
Nova Brasilândia D'Oeste (RO),5,1,,,,,1,10,,,50,2,,,,20,6900,,6900,,5,,,,,,,,1,,,,,25,,,,2,,,,1,,,,3,,30,,5,,5,,1150,,15,,,1,,,1959,,,,,,,3,,Nova Brasilândia D'Oeste,RO
Ouro Preto do Oeste (RO),10,2,,,,,,1,,,81,,,,,1020,440,,440,,14,,,,,,,,6,,,,,22,,,,,,,5,1,,,,2,,120,,4,,8,,1384,,,,,,,,2009,,,8,,,,,,Ouro Preto do Oeste,RO
Pimenta Bueno (RO),50,5,,,,,2,,,,55,12,,,,5,200,,200,,50,,,,,,,,8,,,,,,,,,,,,15,9,,,,3,,160,,5,,40,,1401,,,,,,,,2085,,5,2,,,,2,,Pimenta Bueno,RO
Porto Velho (RO),257,125,,,,,2,6300,,,2717,2,,,,298,2595,,2595,,56,,,,,,,,100,,,,,335,,,,7,1,,10,140,,,,35,,8660,,25,,200,20,21000,,,,,9,,,46994,,14,13,,,,30,,Porto Velho,RO
Presidente Médici (RO),4,,,,,,5,5,,,57,,,,,37,265,,265,,6,,,,,,,,,,,,,12,,,,5,,,20,20,,,,10,,110,,80,,20,,35,,,,,,,,,,10,,,,,7,2,Presidente Médici,RO
Rio Crespo (RO),30,,,,,,,,,,45,,,,,19,112,,112,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,110,,,,5,,16684,,,,,,,,35494,,,,,,,74,,Rio Crespo,RO
Rolim de Moura (RO),30,9,,,,,4,360,,,120,5,,,,70,1420,,1420,,20,,,,,,,,10,,,,,10,,,,3,6,,60,5,,,,23,,126,,12,,18,,3850,,,,,3,,,8017,,,4,,,,,,Rolim de Moura,RO
Santa Luzia D'Oeste (RO),,,,,,,,,,,50,,,,,13,700,,700,,19,,,,,,,,1,,,,,15,,,,2,,,5,1,,,,1,,14,,4,,6,,3246,,,,,,,,8417,,,20,,,,,,Santa Luzia D'Oeste,RO
Vilhena (RO),58,,,,9862,,3,290,,,5,20,,,,3,38,,38,,2,,,,,,,,2,,,,,55,,,,2,,,6,3,,,,4,,15,,1,,10,,28515,,,,,,,,42514,,2,20,,,,2,,Vilhena,RO
São Miguel do Guaporé (RO),2,4,,,,,,4900,,,24,,,,,31,4175,,4175,,5,,,,,,,,,,,,,35,,,,,,,2,12,,,,1,,108,,4,,15,,14173,,,,,3,,,30971,,,,,,,5,,São Miguel do Guaporé,RO
Nova Mamoré (RO),15,3,,,,,2,300,,,150,,,,,18,260,,260,,,,,,,,,,1,,,,,40,,,,6,,,5,10,,,,6,,200,4,2,,10,,1600,,,,,,,,11551,100,4,6,,,,2,,Nova Mamoré,RO
Alvorada D'Oeste (RO),2,,,,,,,183,,,15,,,,,10,1290,,1290,,10,,,,,,,,,,,,,10,,,,3,,,3,2,,,,,,65,,2,,28,,30,,,,,1,,,1060,,,2,,,,3,,Alvorada D'Oeste,RO
Alto Alegre dos Parecis (RO),2,,,,,,2,325,,,55,,,,,7,4088,,4088,,6,,,,,,,,1,,,,,750,,,,12,,,1,10,,,,4,,25,,6,,12,,2872,,,,,20,,,3579,,,4,,,,1,,Alto Alegre dos Parecis,RO
Alto Paraíso (RO),13,5,,,,,,2350,,,250,,,,,5,344,,344,,,,,,,,,,2,,,,,80,,,,4,11,,5,6,,,,7,,30,,3,,27,,12100,,,,,,,,29566,,,2,,,,,,Alto Paraíso,RO
Buritis (RO),10,80,,,,,8,,,,500,,,,,450,4450,,4450,,2,,,,,,,,,,,,,15,,,,,,,7,8,,,,6,,130,,8,,30,,2175,,,,,,,,1237,,,2,,,,,,Buritis,RO
Novo Horizonte do Oeste (RO),2,7,,,,,,10,,,36,3,,,,6,1630,,1630,,6,,,,,,,,,,,,,10,,,,,1,,,,,,,,,52,,15,,15,,2050,,,,,1,,,2975,,2,,,,,1,,Novo Horizonte do Oeste,RO
Cacaulândia (RO),1,6,,,,,,,,,55,1,,,,425,36,,36,,19,,,,,,,,5,,,,,3,,,,,,,5,3,,,,2,,60,,2,,10,,555,,,,,,,,550,,,,,,,2,,Cacaulândia,RO
Campo Novo de Rondônia (RO),15,3,,,,,1,50,,,195,9,,,,168,430,,430,,9,,,,,,,,,,,,,30,,,,,,,6,,,,,3,,302,,2,,10,,420,,,,,,,,914,,,,,,,,,Campo Novo de Rondônia,RO
Candeias do Jamari (RO),29,35,,,,,,4220,,,200,,,,,67,197,,197,,50,,,,,,,,7,,,,,33,,,,,6,,5,25,,,,8,,1700,,8,,4,,9630,,,,,,,,30894,,,2,,,,5,,Candeias do Jamari,RO
Castanheiras (RO),15,,,,,,,250,,,30,2,,,,4,90,,90,,3,,,,,,,,,,,,,,,,,,,,,2,,,,2,,15,,10,,15,,3105,,,,,1,,,6500,10,,,,,,2,,Castanheiras,RO
