State,Primairy Biome,Area (Km^2),Corn Yield (2023 in tons),Estimated Corn Residue (2023 in tons),Corn Yield per Km^2,Estimated Corn Residue per km^2,Estimated Used Corn Residue,Ranking by Corn Production,,Coffee Yield (2023 in tons),Estimated Coffee Residue (2023 in tons),Coffee Yield per Km^2,Estimated Coffee Residue per km^2,Estimated Used Coffee Residue,Ranking by Coffee Production,,Cotton Yield (2023 in tons),Estimated Cotton Residue (2023 in Tons),Cotton Yield per Km^2,Estimated Cotton Residue per km^2,Estimated Used Cotton Residue,Oats,Rye,Barley,wheat,Triticale,Total Straw Yield (tons),Total Straw Yield (tons) per Km^2,Estimated Used Straw,Soybeans (tons),Total Soybean Residue (tons),Totat Soybean Residue per Km^2,Estimated Used Soybean Residue,State,Rice Yield (2023 in tons),Estimated Rice Residue (2023 in tons),Rice Yield per Km^2,Estimated Rice Residue per km^2,Estimated Used Rice Residue
Goias,Cerrado,"340,112",14460846,8279372.823,42.51789411,24.34307764,minimal,Parana,Cerrado,0,0,0,0,minimal,Esperito Santo,Atlantic Forest,116410,71301.125,0.342269605,0.209640133,minimal,0,0,0,124911,0,207352.26,0.609658759,most,17405060,11786155.93,34.65374915,minimal ,Goias,94559,43019.61705,0.278023122,0.126486619,minimal
Mato Grosso do Sul,Cerrado,"357,146",13443031,7696635.834,37.64015557,21.55039069,,Mato Grosso,Cerrado,0,0,0,0,,Minas Gerais,Cerrado,140819,86251.6375,0.39428973,0.24150246,,31980,0,0,128777,0,250866.62,0.702420355,,14193250,9611219.821,26.91117868,,Mato Grosso do Sul,43531,19804.42845,0.121885727,0.055451912,
Mato Grosso,Cerrado,"903,366",50241972,28765399.86,55.61640797,31.84246459,,Goias,Cerrado,0,0,0,0,,Sao Paulo,Cerrado,5360416,3283254.8,5.933825271,3.634467979,,0,0,0,1393,0,2312.38,0.002559738,,44425783,30083734.6,33.30182296,,Mato Grosso,324706,147724.9947,0.359440138,0.163527291,
Tocantins,Cerrado,"277,721",2398750,1373373.699,8.637265457,4.945156106,,Sergipe,Atlantic Forest,0,0,0,0,,Rondonia,Amazon,24967,15292.2875,0.089899575,0.05506349,,0,0,0,0,0,0,0,,4340578,2939302.084,10.5836508,,Tocantins,604375,274960.4063,2.176194814,0.990059831,
Maranhao,Cerrado,"331,937",2487084,1423948.203,7.492638663,4.289814643,,Mato Grosso do Sul,Cerrado,0,0,0,0,,Rio de Janeiro,Atlantic Forest,113404,69459.95,0.341643143,0.209256425,,0,0,0,0,0,0,0,,3821792,2587996.62,7.796650026,,Maranhao,184752,84052.9224,0.556587545,0.253219504,
Minas Gerais,Cerrado,"586,522",8296982,4750331.155,14.14607125,8.099152555,,Santa Caterina,Atlantic forest,1735408,312373.44,2.958811434,0.532586058,,Bahia,Caatinga,118604,72644.95,0.202215774,0.123857161,,9781,0,1623,459229,0,774917.433,1.321207786,,8459161,5728276.179,9.766515457,,Minas Gerais,10327,4698.26865,0.017607183,0.008010388,
Sao Paulo,Cerrado,"248,223",4846053,2774545.798,19.52298135,11.17763381,,Sao Paulo,Cerrado,307353,55323.54,1.23821322,0.22287838,,Parana,Cerrado,39496,24191.3,0.159114989,0.097457931,,17165,0,21686,462062,6745,809252.576,3.26018369,,4962226,3360262.441,13.5372727,,Sao Paulo,47648,21677.4576,0.191956426,0.087330576,
Parana,Cerrado,"199,308",17884646,10239625.82,89.73370863,51.37588966,,Minas Gerais,Cerrado,41840,7531.2,0.209926345,0.037786742,,Acre,Amazon,393,240.7125,0.001971823,0.001207741,,240548,4991,276733,3639645,29674,6564327.043,32.93559236,,21553541,14595376,73.23025671,,Parana,148916,67749.3342,0.747165192,0.339922804,
Amazonas,Amazon,"1,559,159",8265,4732.020269,0.005300935,0.003034982,,Rio Grande do Sul,Pampas,0,0,0,0,,Goias,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,23455,15882.98388,0.010186892,,Amazonas,7003,3186.01485,0.004491524,0.002043419,
Acre,Amazon,"164,123",139065,79619.89095,0.847321826,0.485123297,,Piaui,Caatinga,2858,514.44,0.017413769,0.003134478,,Mato Grosso do Sul,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,45732,30968.26342,0.188689358,,Acre,4316,1963.5642,0.02629735,0.011963979,
