municipality_with_state,municipality_name,state_abbrev,Pineapple* (ha),Acai (ha),Alfalfa (hay) (ha),Tree cotton (seed cotton) (ha),Tree cotton (seed cotton) (ton),Residue tree cotton (seed cotton) (ton),Upland cotton (seed cotton) (ha),Upland cotton (seed cotton) (ton),Residue upland cotton (seed cotton) (ton),Garlic (ha),Peanut (in shell) (ha),Rice (paddy) (ha),Rice (paddy) (ton),Residue rice (paddy) (ton),Oats (grain) (ha),Oats (grain) (ton),Residue oats (grain) (ton),Olive (ha),Banana (bunch) (ha),Sweet potato (ha),Potato (ha),Rubber (coagulated latex) (ha),Rubber (liquid latex) (ha),Cocoa (bean) (ha),Coffee (green) total (ha),Coffee (green) total (ton),Residue coffee (green) total (ton),"Coffee (Arabica, green) (ha)","Coffee (Arabica, green) (ton)","Residue coffee (Arabica, green) (ton)","Coffee (Canephora/Robusta, green) (ha)","Coffee (Canephora/Robusta, green) (ton)","Residue coffee (Canephora/Robusta, green) (ton)",Cashew (fruit) (ha),Sugarcane (ha),Forage cane (ha),Persimmon (ha),Cashew nut (ha),Onion (ha),Rye (grain) (ha),Rye (grain) (ton),Barley (grain) (ha),Barley (grain) (ton),Residue barley (grain) (ton),Tea (green leaf) (ha),Coconut (baía)* (ha),Oil palm (bunch) (ha),Yerba mate (green leaf) (ha),Pea (grain) (ha),Fava bean (grain) (ha),Beans (dry grain) (ha),Fig (ha),Tobacco (leaf) (ha),Sunflower (grain) (ha),Guava (ha),Guarana (seed) (ha),Jute (fiber) (ha),Orange (ha),Lemon (ha),Flax (seed) (ha),Apple (ha),Mallow (fiber) (ha),Papaya (ha),Castor bean (ha),Cassava (ha),Mango (ha),Passion fruit (ha),Quince (ha),Watermelon (ha),Melon (ha),Corn (grain) (ha),Corn (grain) (ton),Residue corn (grain) (ton),Walnut (dried fruit) (ha),Heart of palm (ha),Pear (ha),Peach (ha),Black pepper (ha),Ramie (fiber) (ha),Sisal or agave (fiber) (ha),Soybean (grain) (ha),Soybean (grain) (ton),Residue soybean (grain) (ton),Sorghum (grain) (ha),Tangerine (ha),Tomato (ha),Wheat (grain) (ha),Wheat (grain) (ton),Residue wheat (grain) (ton),Triticale (grain) (ha),Triticale (grain) (ton),Residue triticale (grain) (ton),Tung (dry fruit) (ha),Annatto (seed) (ha),Grapes (ha)
Alta Floresta D'Oeste (RO),Alta Floresta D'Oeste,RO,5.0,5.0,,,0.0,0.0,,0.0,0.0,,,135.0,936.4804437,426.0517779,,0.0,0.0,,146.0,,,,,57.0,4055.0,7539.867,1357.17606,,0.0,0.0,4055.0,7539.867,1357.17606,,5.0,,,,,,0.0,,0.0,0.0,,5.0,,,,,850.0,,,,3.0,,,5.0,9.0,,,,4.0,,330.0,,6.0,,12.0,,1850.0,10939.13762,6263.063634,,,,,1.0,,,1697.0,5812.764555,3936.220239,,,7.0,,0.0,0.0,,0.0,0.0,,3.0,
Ariquemes (RO),Ariquemes,RO,20.0,6.0,,,0.0,0.0,,0.0,0.0,,,375.0,2601.334566,1183.477161,,0.0,0.0,,185.0,,,,,275.0,370.0,687.978,123.83604,,0.0,0.0,370.0,687.978,123.83604,,25.0,,,,,,0.0,,0.0,0.0,,6.0,,,,,3.0,,,,4.0,2.0,,8.0,8.0,,,,4.0,,115.0,,18.0,,23.0,,7881.0,46600.72626,26680.65108,,,,,,,,15980.0,54736.58078,37065.88062,,,4.0,,0.0,0.0,,0.0,0.0,,30.0,
Cabixi (RO),Cabixi,RO,2.0,,,,0.0,0.0,,0.0,0.0,,1.0,1200.0,8324.270611,3787.126914,,0.0,0.0,,34.0,,,,,9.0,24.0,44.6256,8.032608,,0.0,0.0,24.0,44.6256,8.032608,,6.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,22.0,,1.0,,20.0,,21470.0,126953.1268,72685.39256,,,,,,,,32000.0,109610.1743,74224.54192,,2.0,,,0.0,0.0,,0.0,0.0,,100.0,
Cacoal (RO),Cacoal,RO,85.0,,,,0.0,0.0,,0.0,0.0,,2.0,150.0,1040.533826,473.3908643,,0.0,0.0,,450.0,,,,,105.0,4990.0,9278.406,1670.11308,,0.0,0.0,4990.0,9278.406,1670.11308,,26.0,,,,,,0.0,,0.0,0.0,,8.0,,,,,30.0,,,,12.0,3.0,,55.0,38.0,,,,115.0,,190.0,,11.0,,26.0,,3145.0,18596.53395,10647.20818,,,,,6.0,,,6411.0,21959.71335,14870.42307,,5.0,3.0,,0.0,0.0,,0.0,0.0,,2.0,
Cerejeiras (RO),Cerejeiras,RO,30.0,,,,0.0,0.0,,0.0,0.0,,1.0,800.0,5549.513741,2524.751276,,0.0,0.0,,15.0,,,,,4.0,29.0,53.9226,9.706068,,0.0,0.0,29.0,53.9226,9.706068,,20.0,,,,,,0.0,,0.0,0.0,,2.0,,,,,3.0,,,,,,,,2.0,,,,1.0,,110.0,,1.0,,2.0,,26510.0,156754.8856,89748.00916,,,,,,,,40000.0,137012.7179,92780.67741,50.0,,15.0,,0.0,0.0,,0.0,0.0,,20.0,
Colorado do Oeste (RO),Colorado do Oeste,RO,11.0,,,,0.0,0.0,,0.0,0.0,,4.0,29.0,201.1698731,91.52223377,,0.0,0.0,,60.0,,,,,40.0,35.0,65.079,11.71422,,0.0,0.0,35.0,65.079,11.71422,,2.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,3.0,,,,3.0,,,1.0,2.0,,,,2.0,,156.0,,2.0,,3.0,,1880.0,11116.52904,6364.626828,,,,,,,,2310.0,7912.484456,5358.08412,,,1.0,,0.0,0.0,,0.0,0.0,,10.0,
Corumbiara (RO),Corumbiara,RO,15.0,,,,0.0,0.0,,0.0,0.0,,1.0,1700.0,11792.7167,5365.096462,,0.0,0.0,,23.0,1.0,,,,4.0,25.0,46.485,8.3673,,0.0,0.0,25.0,46.485,8.3673,,20.0,,,,,,0.0,,0.0,0.0,,1.0,,,,,15.0,,,,3.0,,,2.0,1.0,,,,1.0,,145.0,,3.0,,1.0,,33020.0,195248.8239,111787.2223,,,,,,,,54743.0,187512.1803,126977.3156,,2.0,2.0,,0.0,0.0,,0.0,0.0,,5.0,
Costa Marques (RO),Costa Marques,RO,17.0,5.0,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,64.0,,,,,5.0,185.0,343.989,61.91802,,0.0,0.0,185.0,343.989,61.91802,,5.0,,,,,,0.0,,0.0,0.0,,,,,,,30.0,,,,,,,35.0,1.0,,,,4.0,,250.0,,5.0,,10.0,,4070.0,24066.10276,13778.74,,,,,,,,7224.0,24744.49684,16756.19034,,5.0,,,0.0,0.0,,0.0,0.0,,100.0,
Espigão D'Oeste (RO),Espigão D'Oeste,RO,10.0,,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,65.0,,,,,5.0,580.0,1078.452,194.12136,,0.0,0.0,580.0,1078.452,194.12136,,,,,,,,0.0,,0.0,0.0,,5.0,,,,,10.0,,,,,,,,2.0,,,,4.0,,315.0,,,,20.0,,1394.0,8242.788022,4719.303084,,,,,,,,1902.0,6514.954734,4411.721211,,,4.0,,0.0,0.0,,0.0,0.0,,,
Guajará-Mirim (RO),Guajará-Mirim,RO,5.0,6.0,,,0.0,0.0,,0.0,0.0,,,1.0,6.936892176,3.155939095,,0.0,0.0,,30.0,2.0,,,,,62.0,115.2828,20.750904,,0.0,0.0,62.0,115.2828,20.750904,,1.0,,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,1.0,7.0,,,,5.0,,330.0,,2.0,,15.0,,2100.0,12417.39946,7109.423585,,,,,,,,9625.0,32968.68523,22325.3505,,,2.0,,0.0,0.0,,0.0,0.0,,12.0,
