h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson
878b84400ffffff,5.869565,5.7934785,0.22584718,5.4423914,5.441304,298.51328,-56.026874641304346,-13.166543663043479,92,"[[-56.02061159561752, -13.178157540391256], [-56.01350753611702, -13.167231071840709], [-56.019713761066114, -13.155313780070127], [-56.033022695810914, -13.154323859748256], [-56.04012575033826, -13.165250008110808], [-56.03392087538787, -13.177166397008385]]"
878b84401ffffff,5.065934,5.0,0.2259825,5.521978,5.5318685,298.52164,-56.046470505494504,-13.153445835164835,91,"[[-56.04012575033826, -13.165250008110808], [-56.033022695810914, -13.154323859748256], [-56.03922742513527, -13.142406633901304], [-56.05253385817798, -13.14141645997666], [-56.059635906347545, -13.152342287047954], [-56.05343252812577, -13.164258609360322]]"
878b84402ffffff,4.47191,4.3707867,0.22686058,5.2044945,5.207865,298.50787,-56.006488292134826,-13.155915617977529,89,"[[-56.00019610201278, -13.168220736086763], [-55.993091238447136, -13.157291886825258], [-55.999298812145206, -13.145373693526373], [-56.012609900954196, -13.14438525104231], [-56.019713761066114, -13.155313780070127], [-56.01350753611702, -13.167231071840709]]"
878b84403ffffff,4.6344085,4.6989245,0.22700104,5.1161294,5.117204,298.51627,-56.025859612903226,-13.143234086021506,93,"[[-56.019713761066114, -13.155313780070127], [-56.012609900954196, -13.14438525104231], [-56.0188159801331, -13.132467123005322], [-56.03212456986329, -13.13147842621123], [-56.03922742513527, -13.142406633901304], [-56.033022695810914, -13.154323859748256]]"
878b84404ffffff,4.8131866,4.6483517,0.22472128,5.323077,5.324176,298.51053,-56.02759114285714,-13.189329010989011,91,"[[-56.0215094837917, -13.20099839724158], [-56.01440522489495, -13.190073992297663], [-56.02061159561752, -13.178157540391256], [-56.03392087538787, -13.177166397008385], [-56.04102412917823, -13.188090482913488], [-56.03481910859855, -13.20000603126554]]"
878b84405ffffff,5.3932586,5.247191,0.22486766,5.34045,5.344944,298.519,-56.047139606741574,-13.17607726966292,89,"[[-56.04102412917823, -13.188090482913488], [-56.03392087538787, -13.177166397008385], [-56.04012575033826, -13.165250008110808], [-56.05343252812577, -13.164258609360322], [-56.06053477542503, -13.175182375124125], [-56.05433125172145, -13.187097859804995]]"
878b84406ffffff,4.659341,4.659341,0.2257291,5.2384615,5.240659,298.50467,-56.00713215384616,-13.178914527472529,91,"[[-56.00109344548449, -13.191064877838928], [-55.993988382397106, -13.180138090203695], [-56.00019610201278, -13.168220736086763], [-56.01350753611702, -13.167231071840709], [-56.02061159561752, -13.178157540391256], [-56.01440522489495, -13.190073992297663]]"
878b84408ffffff,6.5,6.375,0.22721982,5.3761363,5.3875003,298.53235,-56.06497977272727,-13.117648897727271,88,"[[-56.058737090921234, -13.12949930362952], [-56.05163524187371, -13.118571418381235], [-56.057838329141696, -13.106653431598277], [-56.07114191368986, -13.105664233599414], [-56.07824275512995, -13.116591795301892], [-56.07204101992248, -13.128508878574102]]"
878b84409ffffff,5.945652,5.7934785,0.2273221,5.25,5.2608695,298.5399,-56.08433752173914,-13.104491554347828,92,"[[-56.07824275512995, -13.116591795301892], [-56.07114191368986, -13.105664233599414], [-56.077343503569544, -13.093746322806403], [-56.09064458202116, -13.092756877910682], [-56.097744414472515, -13.103684114963368], [-56.09154417775378, -13.115601121586652]]"
878b8440affffff,4.3369565,4.25,0.22822954,5.508696,5.5130434,298.52756,-56.044596793478256,-13.107835826086957,92,"[[-56.03832915356492, -13.119560367013246], [-56.03122649754064, -13.10863010312877], [-56.03743093562283, -13.096711214180289], [-56.050736679208626, -13.095723491306723], [-56.057838329141696, -13.106653431598277], [-56.05163524187371, -13.118571418381235]]"
878b8440bffffff,4.908046,4.793103,0.22832772,5.526437,5.542529,298.53525,-56.063973045977015,-13.09512656321839,87,"[[-56.057838329141696, -13.106653431598277], [-56.050736679208626, -13.095723491306723], [-56.05693962100461, -13.083804677689058], [-56.07024286111052, -13.08281670721255], [-56.077343503569544, -13.093746322806403], [-56.07114191368986, -13.105664233599414]]"
878b8440cffffff,7.0804596,6.9770117,0.22610782,5.5908046,5.608046,298.5297,-56.06598651724138,-13.14017143678161,87,"[[-56.059635906347545, -13.152342287047954], [-56.05253385817798, -13.14141645997666], [-56.058737090921234, -13.12949930362952], [-56.07204101992248, -13.128508878574102], [-56.07914206035128, -13.139434383250894], [-56.07294017981278, -13.1513506354028]]"
878b8440dffffff,5.695652,5.554348,0.22620308,5.4717393,5.4836955,298.53732,-56.08531393478261,-13.12721795652174,92,"[[-56.07914206035128, -13.139434383250894], [-56.07204101992248, -13.128508878574102], [-56.07824275512995, -13.116591795301892], [-56.09154417775378, -13.115601121586652], [-56.09864420906039, -13.126526302765734], [-56.09244382715817, -13.13844248118296]]"
878b8440effffff,4.7526884,4.72043,0.22710314,5.4505377,5.4612904,298.5245,-56.045661150537626,-13.130676956989248,93,"[[-56.03922742513527, -13.142406633901304], [-56.03212456986329, -13.13147842621123], [-56.03832915356492, -13.119560367013246], [-56.05163524187371, -13.118571418381235], [-56.058737090921234, -13.12949930362952], [-56.05253385817798, -13.14141645997666]]"
