h3_index,SOC_res_250_b0 (g/kg),SOC_res_250_b10 (g/kg),soil_moisture_res_250_sm_surface (m3/m3),soil_pH_res_250_b0 (pH),soil_pH_res_250_b10 (pH),soil_temp_res_250_soil_temp_layer1 (K),lon,lat,point_count,h3_boundary_geojson,biochar_suitability_score,soil_quality_index,suitability_grade,color_hex,recommendation,property_ratings_moisture,property_scores_moisture,property_ratings_soc,property_scores_soc,property_ratings_ph,property_scores_ph,property_ratings_temperature,property_scores_temperature,suitability_score
85814103fffffff,0.0,0.0,,0.0,0.0,,-50.29046698474341,-7.8320207926490975,4326,"[[-50.23760056722989, -7.917100891533112], [-50.18694859822491, -7.83575193643482], [-50.23249468962638, -7.750668633294868], [-50.32864676696416, -7.746954086157506], [-50.379272667598926, -7.828282861617729], [-50.33377268765146, -7.91334635898893]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85814107fffffff,0.0,0.0,,0.0,0.0,,-50.424722313025214,-7.743146539495798,4760,"[[-50.379272667598926, -7.828282861617729], [-50.32864676696416, -7.746954086157506], [-50.37413788039048, -7.661881466556229], [-50.470208396931795, -7.658157636224568], [-50.52080763794632, -7.739465762012279], [-50.475363149781124, -7.824518362831105]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
8581410bfffffff,0.0,0.0,,0.0,0.0,,-50.22586435294118,-7.7521306470588245,34,"[[-50.09071602453271, -7.8394563897644], [-50.04004978431773, -7.75803819340925], [-50.0856414297587, -7.672935641185125], [-50.18185389032741, -7.6692705294021355], [-50.23249468962638, -7.750668633294868], [-50.18694859822491, -7.83575193643482]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
8581410ffffffff,0.0,0.0,,0.0,0.0,,-50.28738043551847,-7.665650614064362,4195,"[[-50.23249468962638, -7.750668633294868], [-50.18185389032741, -7.6692705294021355], [-50.22739107458662, -7.584178447562509], [-50.32352311562837, -7.580503926745741], [-50.37413788039048, -7.661881466556229], [-50.32864676696416, -7.746954086157506]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85814113fffffff,0.0,0.0,,0.0,0.0,,-50.29371088006301,-7.998313049279929,4444,"[[-50.24270870882092, -8.083472441406412], [-50.19204556598506, -8.002174004012952], [-50.23760056722989, -7.917100891533112], [-50.33377268765146, -7.91334635898893], [-50.384409728247654, -7.994625001010003], [-50.33890087911618, -8.079677966325619]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85814117fffffff,0.0,0.0,,0.0,0.0,,-50.4298861237655,-7.909528047909224,4759,"[[-50.384409728247654, -7.994625001010003], [-50.33377268765146, -7.91334635898893], [-50.379272667598926, -7.828282861617729], [-50.475363149781124, -7.824518362831105], [-50.5259734965623, -7.905776740255008], [-50.480520182785675, -7.990819876337017]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
8581411bfffffff,0.0,0.0,,0.0,0.0,,-50.22765796153846,-7.9183037051282055,78,"[[-50.09579287230697, -8.005917757675771], [-50.0451154288816, -7.924549093766159], [-50.09071602453271, -7.8394563897644], [-50.18694859822491, -7.83575193643482], [-50.23760056722989, -7.917100891533112], [-50.19204556598506, -8.002174004012952]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85814123fffffff,0.0,0.0,,0.0,0.0,,-50.561033944923274,-7.4881204864410345,4757,"[[-50.51564406210958, -7.573096980336386], [-50.46505592280917, -7.491740475407594], [-50.51048276762312, -7.40667317599336], [-50.606450784077, -7.402982260951555], [-50.65701170972131, -7.4843172610436595], [-50.61163195959093, -7.569364675675419]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
85814127fffffff,0.0,0.0,,0.0,0.0,,-50.70233931902894,-7.410353229769495,4078,"[[-50.65701170972131, -7.4843172610436595], [-50.606450784077, -7.402982260951555], [-50.651821757545854, -7.317929268264072], [-50.74770618133637, -7.314231364305946], [-50.798239307894605, -7.395544390474881], [-50.75291593611412, -7.480577289065736]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
8581412bfffffff,0.0,0.0,,0.0,0.0,,-50.414438980486686,-7.417059443755739,4356,"[[-50.3690053651959, -7.495423596707069], [-50.31840173221928, -7.413998665509348], [-50.36387512058986, -7.328912038652153], [-50.459905725985855, -7.325269664963862], [-50.51048276762312, -7.40667317599336], [-50.46505592280917, -7.491740475407594]]",70.83,29.17,Moderate Suitability,#f57c00,Suitable – biochar recommended,Good,3.0,Very Poor,0.0,Very Poor,0.0,Good,3.0,7.083
